Month,BA,BC,BN,SA,SC,SN,CMA
2003-10,0.0645,0.1854,0.0731,0.0529,0.0433,0.0403,0.0557
2003-11,0.0257,0.0349,0.0453,0.1086,0.1515,0.1187,0.026
2003-12,0.1952,0.1751,0.2025,0.2631,0.1718,0.238,-0.0557
2004-01,-0.036,-0.0188,-0.0148,-0.0977,-0.1491,-0.1074,-0.0171
2004-02,-0.0078,0.036,-0.0032,-0.0165,-0.0733,-0.0449,-0.0065
2004-03,0.0345,-0.0469,0.0391,-0.0321,-0.0537,-0.0154,-0.0515
2004-04,0.0283,-0.0074,0.0292,0.0585,0.0928,0.0835,-0.0007
2004-05,-0.1697,-0.1911,-0.2644,-0.1519,-0.1605,-0.1496,-0.015
2004-06,0.0153,0.042,0.0533,0.0148,-0.0014,0.0079,0.0052
2004-07,0.0914,0.1546,0.0757,0.0847,0.109,0.0856,0.0437
2004-08,-0.0014,0.0161,0.0235,0.0767,0.1135,0.083,0.0271
2004-09,0.0795,0.0645,0.0719,0.0951,0.0662,0.0717,-0.022
2004-10,0.0298,0.0411,0.0027,0.0284,0.0133,0.0288,-0.0019
2004-11,0.1075,0.0907,0.0859,0.1204,0.1428,0.1424,0.0028
2004-12,0.0452,0.172,0.1073,0.1286,0.1432,0.1216,0.0707
2005-01,-0.0204,0.0195,-0.0251,-0.016,-0.0055,-0.015,0.0252
2005-02,0.0308,0.0256,0.0423,0.0315,0.1074,0.0395,0.0354
2005-03,-0.0096,-0.0504,-0.0567,-0.0047,-0.0082,-0.0147,-0.0222
2005-04,-0.0496,-0.0374,-0.0517,0.0128,0.0161,0.0263,0.0077
2005-05,0.1101,0.0631,0.0695,0.0817,0.1067,0.1029,-0.011
2005-06,0.0693,0.0347,0.0427,-0.0061,0.0321,0.0001,0.0018
2005-07,0.0134,0.1485,0.1007,0.0974,0.1308,0.1134,0.0842
2005-08,0.0337,0.1075,0.0213,0.1334,0.1385,0.1297,0.0395
2005-09,0.0838,0.0594,0.0974,0.0214,-0.0251,0.0218,-0.0354
2005-10,-0.0895,-0.1259,-0.0815,-0.12,-0.1396,-0.0978,-0.028
2005-11,0.119,0.1355,0.1154,0.0999,0.1292,0.1233,0.0229
2005-12,0.0855,0.0734,0.0459,0.0691,0.037,0.0625,-0.0221
2006-01,0.0785,0.0862,0.0678,0.0399,0.0665,0.0466,0.0171
2006-02,0.0155,0.0434,0.0413,-0.0065,-0.0059,0.0011,0.0143
2006-03,0.1079,0.1343,0.1117,0.0776,0.0693,0.0675,0.0091
2006-04,0.0623,0.0946,0.0843,0.0701,0.1314,0.0748,0.0468
2006-05,-0.1286,-0.1408,-0.1458,-0.1297,-0.1533,-0.1286,-0.0179
2006-06,-0.0135,-0.0382,-0.0181,-0.1475,-0.1692,-0.1454,-0.0232
2006-07,0.0225,-0.0334,-0.0196,-0.0313,-0.0437,-0.0252,-0.0341
2006-08,0.0719,0.0876,0.1154,0.1205,0.135,0.1167,0.0151
2006-09,0.0559,0.0571,0.0802,0.0672,0.0793,0.0628,0.0066
2006-10,0.0858,-0.0325,0.0328,0.0598,0.0293,0.0231,-0.0743
2006-11,0.0882,0.0572,0.0287,0.0472,0.0069,0.0184,-0.0357
2006-12,0.0141,0.0043,0.004,0.0337,0.0283,0.0178,-0.0076
2007-01,0.0443,-0.008,0.037,0.0552,0.0919,0.0401,-0.0078
2007-02,-0.0789,-0.1225,-0.0744,-0.0889,-0.1032,-0.0974,-0.029
2007-03,0.017,0.0266,0.0241,-0.0279,-0.0552,-0.0454,-0.0088
2007-04,0.0628,0.0507,0.0816,0.0618,0.0775,0.0539,0.0018
2007-05,0.0445,0.0502,0.0631,0.0568,0.049,0.0539,-0.001
2007-06,0.0106,0.037,0.0053,0.0398,0.0338,0.0398,0.0102
