Month,BL,BW,SL,SW,WML
2000-11,,,,,
2000-12,,,,,
2001-01,,,,,
2001-02,,,,,
2001-03,,,,,
2001-04,,,,,
2001-05,,,,,
2001-06,,,,,
2001-07,,,,,
2001-08,,,,,
2001-09,,,,,
2001-10,0.0605,0.0548,0.2312,0.0498,-0.0936
2001-11,0.3642,0.0378,0.376,0.1031,-0.2997
2001-12,0.021,-0.0161,0.0449,-0.0121,-0.0471
2002-01,0.0243,0.0411,0.0323,0.0576,0.021
2002-02,0.0561,0.1699,0.0262,0.0533,0.0704
2002-03,-0.0668,0.016,0.0967,0.0732,0.0296
2002-04,-0.0486,0.0405,0.055,0.1512,0.0926
2002-05,-0.0253,-0.0613,-0.0519,-0.0657,-0.0249
2002-06,0.0554,0.029,0.1403,0.107,-0.0298
2002-07,-0.0631,-0.0093,-0.1481,-0.1308,0.0356
2002-08,0.0756,0.0331,-0.0065,0.041,0.0025
2002-09,-0.0292,-0.1213,-0.0718,-0.0372,-0.0288
2002-10,-0.038,0.0626,-0.0464,-0.0186,0.0642
2002-11,0.0669,-0.0331,0.0881,0.0644,-0.0618
2002-12,0.0455,0.0607,0.0254,0.0666,0.0282
2003-01,-0.0184,0.029,-0.0943,-0.0262,0.0578
2003-02,-0.0217,0.0214,-0.0151,0.0326,0.0454
2003-03,-0.1226,-0.0533,-0.1642,-0.0849,0.0743
2003-04,-0.0734,0.0255,0.0671,0.0735,0.0527
2003-05,0.0745,0.1424,0.1915,0.2087,0.0426
2003-06,0.1472,0.1111,0.1398,0.1235,-0.0262
2003-07,0.0555,0.0475,0.0229,0.0877,0.0284
2003-08,0.1234,0.2231,0.0889,0.1401,0.0754
2003-09,0.048,0.0619,0.0121,0.0793,0.0406
2003-10,0.1151,0.0864,0.0012,0.0853,0.0277
2003-11,0.124,0.0363,0.1445,0.1009,-0.0657
2003-12,0.1376,0.1882,0.2769,0.2448,0.0093
2004-01,-0.0881,-0.04,-0.1437,-0.1146,0.0386
2004-02,-0.0308,0.0165,-0.0618,-0.0231,0.043
2004-03,-0.0536,0.0211,-0.0583,-0.009,0.062
2004-04,0.0314,0.0094,0.0683,0.0796,-0.0053
2004-05,-0.0282,-0.2429,-0.1245,-0.1653,-0.1278
2004-06,-0.0496,0.0558,0.0538,0.0012,0.0264
2004-07,-0.041,0.0508,0.1127,0.1137,0.0465
2004-08,0.0014,0.0259,0.073,0.098,0.0247
2004-09,0.0869,0.0683,0.0906,0.0756,-0.0168
2004-10,-0.0014,0.0186,0.0044,0.0419,0.0288
2004-11,0.0833,0.1407,0.1164,0.1458,0.0434
2004-12,0.1099,0.1892,0.1563,0.1238,0.0234
2005-01,-0.0377,-0.0045,-0.0048,0.0216,0.0299
2005-02,0.0298,0.019,0.0296,0.0724,0.016
2005-03,-0.0407,-0.0273,-0.0421,0.0157,0.0356
2005-04,-0.0413,-0.0429,0.0132,0.0554,0.0203
2005-05,0.0807,0.0469,0.1128,0.1008,-0.0229
2005-06,0.075,0.0138,0.0063,0.0278,-0.0199
2005-07,0.0452,0.1504,0.089,0.1489,0.0825
2005-08,0.0456,0.0805,0.1039,0.1754,0.0532
2005-09,0.0693,0.0656,0.0024,0.0113,0.0026
2005-10,-0.0868,-0.1368,-0.0984,-0.1279,-0.0398
