"Company Name","Prowess company code"
"Adani Enterprises Ltd.","5747"
"Adani Ports & Special Economic Zone Ltd.","86597"
"Apollo Hospitals Enterprise Ltd.","18102"
"Asian Paints Ltd.","22859"
"Axis Bank Ltd.","256066"
"Bajaj Auto Ltd.","374518"
"Bajaj Finance Ltd.","28897"
"Bajaj Finserv Ltd.","374519"
"Bharat Electronics Ltd.","33727"
"Bharti Airtel Ltd.","34162"
"Cipla Ltd.","47858"
"Coal India Ltd.","48799"
"Dr. Reddy'S Laboratories Ltd.","62987"
"Eicher Motors Ltd.","66185"
"Eternal Ltd.","412105"
"Grasim Industries Ltd.","85447"
"H C L Technologies Ltd.","88258"
"H D F C Bank Ltd.","88297"
"H D F C Life Insurance Co. Ltd.","88320"
"Hindalco Industries Ltd.","93902"
"Hindustan Unilever Ltd.","94080"
"I C I C I Bank Ltd.","96379"
"I T C Ltd.","97066"
"Infosys Ltd.","100632"
"Interglobe Aviation Ltd.","395047"
"J S W Steel Ltd.","109874"
"Jio Financial Services Ltd.","196775"
"Kotak Mahindra Bank Ltd.","122573"
"Kwality Walls (India) Ltd.","729938"
"Larsen & Toubro Ltd.","127106"
"Mahindra & Mahindra Ltd.","136444"
"Maruti Suzuki India Ltd.","140829"
"Max Healthcare Institute Ltd.","324892"
"N T P C Ltd.","155695"
"Nestle India Ltd.","157827"
"Oil & Natural Gas Corpn. Ltd.","163226"
"Power Grid Corpn. Of India Ltd.","177758"
"Reliance Industries Ltd.","196667"
"S B I Life Insurance Co. Ltd.","201643"
"Shriram Finance Ltd.","225455"
"State Bank Of India","236328"
"Sun Pharmaceutical Inds. Ltd.","239726"
"Tata Consultancy Services Ltd.","164646"
"Tata Consumer Products Ltd.","248186"
"Tata Motors Passenger Vehicles Ltd.","248093"
"Tata Steel Ltd.","248136"
"Tech Mahindra Ltd.","136494"
"Titan Company Ltd.","251664"
"Trent Ltd.","253375"
"Ultratech Cement Ltd.","125123"
"Wipro Ltd.","272724"
