Month,SMB,HML,WML,RMW,CMA,MKT
2001-11,0.0867,-0.037,-0.2997,,,12.237
2001-12,0.0297,-0.0697,-0.0471,,,-0.204
2002-01,-0.015,0.0095,0.021,,,2.792
2002-02,-0.1615,0.1655,0.0704,,,9.836
2002-03,0.0333,0.0288,0.0296,,,2.698
2002-04,0.0739,0.0569,0.0926,,,1.999
2002-05,-0.0538,0.1398,-0.0249,,,-4.376
2002-06,0.0921,0.1656,-0.0298,,,5.012
2002-07,-0.0622,-0.0316,0.0356,,,-8.202
2002-08,-0.0217,-0.0475,0.0025,,,5.072
2002-09,0.0296,-0.0231,-0.0288,,,-5.862
2002-10,-0.0226,0.004,0.0642,0.0462,,-0.407
2002-11,-0.0388,0.0837,-0.0618,-0.0011,,7.241
2002-12,-0.0754,0.0946,0.0282,0.0263,,4.652
2003-01,-0.0329,-0.0013,0.0578,-0.0181,,-2.645
2003-02,-0.0126,-0.0039,0.0454,0.0103,,1.961
2003-03,-0.0774,0.0376,0.0743,0.026,,-8.226
2003-04,0.0841,0.0513,0.0527,-0.0567,,-0.4
2003-05,-0.0864,0.3,0.0426,0.0169,,15.994
2003-06,0.0801,-0.0543,-0.0262,-0.0121,,11.415
2003-07,-0.0361,0.1051,0.0284,0.025,,5.644
2003-08,0.0004,-0.082,0.0754,0.0465,,17.164
2003-09,-0.0057,0.0088,0.0406,0.0372,,4.051
2003-10,-0.021,0.0213,0.0277,-0.0807,0.0557,6.813
2003-11,0.1157,0.0573,-0.0657,-0.0214,0.026,6.081
2003-12,0.0849,-0.0194,0.0093,-0.0137,-0.0557,19.299
2004-01,-0.1214,0.0497,0.0386,-0.0309,-0.0171,-5.028
2004-02,-0.0616,0.0002,0.043,0.0072,-0.0065,-1.31
2004-03,-0.0281,0.021,0.062,-0.0172,-0.0515,0.619
2004-04,0.1036,-0.0418,-0.0053,-0.0043,-0.0007,3.66
2004-05,0.0816,-0.0541,-0.1278,-0.0066,-0.015,-18.014
2004-06,-0.0512,0.0639,0.0264,0.0149,0.0052,1.89
2004-07,-0.0466,0.1722,0.0465,-0.0161,0.0437,8.643
2004-08,0.0751,0.0347,0.0247,0.0248,0.0271,2.501
2004-09,-0.006,0.0237,-0.0168,-0.0128,-0.022,8.024
2004-10,0.0529,-0.0332,0.0288,-0.0066,-0.0019,1.691
2004-11,0.076,0.0201,0.0434,-0.0054,0.0028,10.259
2004-12,-0.0024,0.0847,0.0234,-0.0,0.0707,9.453
2005-01,0.0042,0.0171,0.0299,-0.0176,0.0252,-1.771
2005-02,0.0844,-0.0734,0.016,0.0123,0.0354,3.667
2005-03,0.0375,0.0175,0.0356,0.0194,-0.0222,-3.088
2005-04,0.1049,-0.0072,0.0203,0.0017,0.0077,-3.499
2005-05,0.0134,0.0661,-0.0229,-0.0049,-0.011,9.104
2005-06,-0.0387,0.0169,-0.0199,-0.0467,0.0018,4.475
2005-07,0.0079,0.0484,0.0825,-0.0467,0.0842,7.519
2005-08,0.124,0.0138,0.0532,-0.0193,0.0395,5.925
2005-09,-0.0746,0.0036,0.0026,0.0313,-0.0354,6.522
2005-10,0.0074,-0.0563,-0.0398,0.013,-0.028,-9.315
2005-11,-0.0086,0.0006,0.045,-0.0143,0.0229,11.768
2005-12,-0.01,-0.033,0.0127,0.0258,-0.0221,6.774
2006-01,0.0036,-0.0414,0.1058,-0.0279,0.0171,6.925
2006-02,0.0113,-0.0514,-0.0067,0.0379,0.0143,2.1
2006-03,-0.0344,0.0017,0.0942,0.0291,0.0091,10.462
2006-04,0.0281,0.01,0.0424,-0.0184,0.0468,6.758
2006-05,0.0384,-0.0082,-0.0459,-0.031,-0.0179,-13.942
2006-06,-0.125,-0.0297,0.0606,0.0366,-0.0232,-3.786
2006-07,-0.0059,-0.0385,-0.0299,-0.0009,-0.0341,-0.181
2006-08,0.0196,0.0339,-0.0323,-0.012,0.0151,9.85
2006-09,0.0434,-0.052,0.002,-0.0286,0.0066,6.479
2006-10,0.0089,-0.0341,0.0802,-0.0052,-0.0743,4.805
2006-11,0.0224,-0.0708,0.0663,-0.0335,-0.0357,5.239
2006-12,0.0446,0.0222,0.0346,0.0009,-0.0076,1.066
2007-01,0.0064,0.0797,-0.0207,-0.0291,-0.0078,3.921
2007-02,0.01,-0.0299,-0.0008,-0.0084,-0.029,-8.198
2007-03,-0.044,-0.0115,-0.0025,-0.0259,-0.0088,1.094
2007-04,-0.0165,0.0308,0.0133,-0.0096,0.0018,6.932
2007-05,-0.0117,0.009,0.0544,0.0133,-0.001,5.399
2007-06,0.0393,0.0152,-0.0206,-0.0004,0.0102,1.397
2007-07,0.0011,0.0121,0.0148,0.0073,0.0126,4.594
2007-08,0.0267,0.0505,0.0073,0.005,0.0287,-1.331
2007-09,-0.0203,0.1086,0.0484,-0.0359,0.0569,13.098
2007-10,-0.0366,-0.0381,0.1661,-0.0221,-0.0075,18.057
2007-11,0.005,0.1595,0.0194,-0.0187,0.0231,0.233
2007-12,0.11,0.0865,-0.0531,-0.0343,0.0035,11.185
2008-01,-0.0023,-0.0726,0.0057,-0.007,-0.0631,-19.096
2008-02,-0.0507,0.0038,-0.0328,0.0239,0.0372,0.214
2008-03,0.0097,-0.0229,-0.0698,0.0098,0.0433,-12.742
2008-04,0.0121,0.0516,0.0256,-0.0725,-0.0016,11.411
2008-05,0.0094,-0.0132,-0.0643,0.0114,-0.0304,-6.185
2008-06,0.0264,-0.0504,-0.0426,-0.0002,0.0254,-18.75
2008-07,-0.067,0.0564,0.0172,-0.0416,0.0477,7.712
2008-08,-0.0077,-0.0182,-0.0311,0.01,-0.0073,0.887
2008-09,-0.0797,-0.0087,0.0214,0.0143,0.0372,-13.23
2008-10,-0.0731,0.0214,0.0653,0.0252,0.0834,-28.037
2008-11,-0.1165,0.0899,0.0875,0.0098,-0.0135,-6.392
2008-12,-0.0076,-0.0035,-0.1861,-0.0943,0.0943,11.494
2009-01,-0.0214,0.0003,0.1035,0.0145,0.0009,-4.783
2009-02,0.0158,-0.03,0.0438,0.0116,0.0311,-4.265
2009-03,-0.0009,-0.0589,-0.0571,0.0153,-0.0217,8.326
2009-04,0.0123,0.0427,-0.1935,0.0236,-0.0648,16.359
2009-05,0.0814,0.0192,-0.3528,-0.041,-0.0343,35.449
2009-06,-0.0069,-0.0211,0.0012,0.0336,0.0449,-2.33
2009-07,0.024,-0.0317,-0.0233,0.0772,-0.0232,8.099
2009-08,0.1117,0.0353,-0.0525,0.0089,-0.0242,3.106
